date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:29:09	20127/20127	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%224e9f-14dfd257cd0%22	http://gamesfaucet.com/vendor/bootstrap/dist/fonts/glyphicons-halflings-regular.eot?	C:/Meine%20Webseiten/a/gamesfaucet.com/vendor/bootstrap/dist/fonts/glyphicons-halflings-regulard41d.eot	(from http://gamesfaucet.com/vendor/bootstrap/dist/css/bootstrap.min.css)
15:29:10	108738/108738	---M--	200	added ('OK')	image/svg+xml	etag:W/%221a8c2-14dfd257cd0%22	http://gamesfaucet.com/vendor/bootstrap/dist/fonts/glyphicons-halflings-regular.svg	C:/Meine%20Webseiten/a/gamesfaucet.com/vendor/bootstrap/dist/fonts/glyphicons-halflings-regular.svg	(from http://gamesfaucet.com/vendor/bootstrap/dist/css/bootstrap.min.css)
15:29:11	23424/23424	---M--	200	added ('OK')	application/font-woff	etag:W/%225b80-14dfd257cd0%22	http://gamesfaucet.com/vendor/bootstrap/dist/fonts/glyphicons-halflings-regular.woff	C:/Meine%20Webseiten/a/gamesfaucet.com/vendor/bootstrap/dist/fonts/glyphicons-halflings-regular.woff	(from http://gamesfaucet.com/vendor/bootstrap/dist/css/bootstrap.min.css)
15:29:11	65017/65017	---M--	200	added ('OK')	text/css	etag:W/%22fdf9-14f479d1af5%22	http://gamesfaucet.com/assets/css/blocks.css	C:/Meine%20Webseiten/a/gamesfaucet.com/assets/css/blocks.css	(from http://gamesfaucet.com/assets/css/style.css)
15:29:13	16736/16736	---M--	200	added ('OK')	text/css	etag:W/%224160-14f479d1b04%22	http://gamesfaucet.com/assets/css/plugins.css	C:/Meine%20Webseiten/a/gamesfaucet.com/assets/css/plugins.css	(from http://gamesfaucet.com/assets/css/style.css)
15:29:14	73294/73294	---M--	200	added ('OK')	text/css	etag:W/%2211e4e-14f479d1af5%22	http://gamesfaucet.com/assets/css/app.css	C:/Meine%20Webseiten/a/gamesfaucet.com/assets/css/app.css	(from http://gamesfaucet.com/assets/css/style.css)
15:29:15	45404/45404	---M--	200	added ('OK')	application/x-font-ttf	etag:W/%22b15c-14dfd257cd0%22	http://gamesfaucet.com/vendor/bootstrap/dist/fonts/glyphicons-halflings-regular.ttf	C:/Meine%20Webseiten/a/gamesfaucet.com/vendor/bootstrap/dist/fonts/glyphicons-halflings-regular.ttf	(from http://gamesfaucet.com/vendor/bootstrap/dist/css/bootstrap.min.css)
15:29:15	39/39	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2017%20Sep%202016%2013:29:23%20GMT	http://gamesfaucet.com/assets/img/breadcrumbs.png	C:/Meine%20Webseiten/a/gamesfaucet.com/assets/img/breadcrumbs.png	(from http://gamesfaucet.com/assets/css/style.css)
15:29:16	36/36	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2017%20Sep%202016%2013:29:23%20GMT	http://gamesfaucet.com/assets/img/bg-black.png	C:/Meine%20Webseiten/a/gamesfaucet.com/assets/img/bg-black.png	(from http://gamesfaucet.com/assets/css/style.css)
15:29:17	3302/3302	---M--	200	added ('OK')	image/png	etag:W/%22ce6-14f479d1b79%22	http://gamesfaucet.com/assets/img/patterns/17.png	C:/Meine%20Webseiten/a/gamesfaucet.com/assets/img/patterns/17.png	(from http://gamesfaucet.com/assets/css/style.css)
